"name","path","description","enabled","dependency","required_mcp","required_env","classification","mentions_mcp","mentions_env"
"2d-pixel-perfect","C:\Users\tjqmf\.agents\skills\2d-pixel-perfect\SKILL.md","Sets up, diagnoses, and fixes pixel perfect 2D rendering in Unity projects. Use when working on any retro-style or pixel art 2D game.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"accessibility-design","C:\Users\tjqmf\.codex\skills\accessibility-design\SKILL.md","Use when designing or reviewing keyboard access, screen-reader semantics, contrast, focus, motion, forms, touch targets, or inclusive usability.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"agent-workflows","C:\Users\tjqmf\.codex\skills\agent-workflows\SKILL.md","Use when building multi-step AI agents, tool-using workflows, autonomous loops, evaluators, handoffs, or long-running agent tasks.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"ai-integration","C:\Users\tjqmf\.codex\skills\ai-integration\SKILL.md","Use when adding LLM, vision, speech, embeddings, generative AI, model routing, structured output, or AI-dependent product behavior.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"airtable:airtable-cli","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\airtable\7.0.0\skills\airtable-cli\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","YES"
"airtable:airtable-filters","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\airtable\7.0.0\skills\airtable-filters\SKILL.md","Use this skill when the user wants to find, filter, or narrow down Airtable records by field values, even when they don't explicitly say ""filter.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","NO"
"airtable:airtable-overview","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\airtable\7.0.0\skills\airtable-overview\SKILL.md","Explains what Airtable is and how data is structured — bases, tables, fields, records, views, automations, and interfaces. Use when you need context about the Airtable data model.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"api-integration","C:\Users\tjqmf\.codex\skills\api-integration\SKILL.md","Use when connecting an external or internal API, SDK, webhook, authentication provider, or remote service boundary.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"app-69312da8e4dc81919370cb86fd172b6c:adobe-batch-edit-photos","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-69312da8e4dc81919370cb86fd172b6c\8.0.0\skills\adobe-batch-edit-photos\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","NO"
"app-69312da8e4dc81919370cb86fd172b6c:adobe-create-mockups","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-69312da8e4dc81919370cb86fd172b6c\8.0.0\skills\adobe-create-mockups\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"app-69312da8e4dc81919370cb86fd172b6c:adobe-create-social-variations","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-69312da8e4dc81919370cb86fd172b6c\8.0.0\skills\adobe-create-social-variations\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","NO"
"app-69312da8e4dc81919370cb86fd172b6c:adobe-design-from-template","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-69312da8e4dc81919370cb86fd172b6c\8.0.0\skills\adobe-design-from-template\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"app-69312da8e4dc81919370cb86fd172b6c:adobe-edit-quick-cut","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-69312da8e4dc81919370cb86fd172b6c\8.0.0\skills\adobe-edit-quick-cut\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","NO"
"app-69312da8e4dc81919370cb86fd172b6c:adobe-retouch-portraits","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-69312da8e4dc81919370cb86fd172b6c\8.0.0\skills\adobe-retouch-portraits\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","NO"
